product_id,product_name,category,description,brand,energy_grade,warranty_year,width_min,width_max,height_min,height_max,price
lx-vf80-d-s,뷰프레임80 이중창 (소),이중창,단열 1등급. 거실·안방 표준 적용 LX지인 대표 시리즈,LX지인,1등급,7,500,1500,500,1400,900000
lx-vf80-d-m,뷰프레임80 이중창 (중),이중창,단열 1등급. 거실·안방 표준 적용 LX지인 대표 시리즈,LX지인,1등급,7,1501,2500,500,1400,1350000
lx-vf80-d-l,뷰프레임80 이중창 (대),이중창,단열 1등급. 거실·안방 표준 적용 LX지인 대표 시리즈,LX지인,1등급,7,2501,4000,500,1400,1800000
lx-vf80-d-xl,뷰프레임80 이중창 (특대),이중창,단열 1등급. 거실·안방 표준 적용 LX지인 대표 시리즈,LX지인,1등급,7,4001,10000,1401,5000,3200000
lx-vf90-d-s,뷰프레임90 이중창 (소),이중창,프리미엄 단열+T3 방음. 침실 최적화 고급형,LX지인,1등급,10,500,1500,500,1600,1100000
lx-vf90-d-m,뷰프레임90 이중창 (중),이중창,프리미엄 단열+T3 방음. 침실 최적화 고급형,LX지인,1등급,10,1501,2500,500,1600,1600000
lx-vf90-d-l,뷰프레임90 이중창 (대),이중창,프리미엄 단열+T3 방음. 침실 최적화 고급형,LX지인,1등급,10,2501,4000,500,1600,2200000
lx-vf90-d-xl,뷰프레임90 이중창 (특대),이중창,프리미엄 단열+T3 방음. 침실 최적화 고급형,LX지인,1등급,10,4001,10000,1601,5000,3800000
lx-vf70-s-s,뷰프레임70 슬라이딩 (소),슬라이딩,발코니·주방·다용도실 적용 기본 슬라이딩,LX지인,2등급,5,500,1500,500,1200,750000
lx-vf70-s-m,뷰프레임70 슬라이딩 (중),슬라이딩,발코니·주방·다용도실 적용 기본 슬라이딩,LX지인,2등급,5,1501,2500,500,1200,1100000
lx-vf70-s-l,뷰프레임70 슬라이딩 (대),슬라이딩,발코니·주방·다용도실 적용 기본 슬라이딩,LX지인,2등급,5,2501,4000,500,1200,1500000
lx-vf70-s-xl,뷰프레임70 슬라이딩 (특대),슬라이딩,발코니·주방·다용도실 적용 기본 슬라이딩,LX지인,2등급,5,4001,10000,1201,5000,2600000
lx-vf100-fd-m,뷰프레임100 폴딩도어 (중),폴딩도어,발코니 확장형 전용. 개방감 극대화 프리미엄 폴딩,LX지인,1등급,10,1500,3000,2000,2800,2800000
lx-vf100-fd-l,뷰프레임100 폴딩도어 (대),폴딩도어,발코니 확장형 전용. 개방감 극대화 프리미엄 폴딩,LX지인,1등급,10,3001,5000,2000,2800,4200000
lx-vf100-fd-xl,뷰프레임100 폴딩도어 (특대),폴딩도어,발코니 확장형 전용. 개방감 극대화 프리미엄 폴딩,LX지인,1등급,10,5001,10000,2801,5000,6500000
lx-smartbalcony-m,스마트발코니 시스템창호 (중),시스템창호,터닝도어+이중창 패키지. 안방발코니 특화 시스템,LX지인,1등급,10,1500,3000,1200,2400,2200000
